id_vaca_gps,Numero_pendiente,IdUsuario,latitud,longitud,rssi,fecha
77,1001,1,43.128216,-8.485354,-97.0,2024-04-20 12:45:58
78,1001,1,43.128216,-8.485354,-105.0,2024-04-20 12:45:59
79,1001,1,43.128216,-8.485354,-101.0,2024-04-20 12:46:00
80,1001,1,43.128216,-8.485354,-107.0,2024-04-20 12:46:08
81,1001,1,43.128216,-8.485354,-110.0,2024-04-20 12:46:09
82,1001,1,43.128216,-8.485354,-111.0,2024-04-20 12:46:14
83,1001,1,43.128216,-8.485354,-108.0,2024-04-20 12:46:15
84,1001,1,43.128216,-8.485354,-112.0,2024-04-20 12:46:16
85,1001,1,43.128216,-8.485354,-109.0,2024-04-20 12:46:17
86,1001,1,43.128216,-8.485354,-106.0,2024-04-20 12:46:19
87,1001,1,43.127934,-8.486152,-109.0,2024-04-20 12:46:26
88,1001,1,43.127872,-8.485959,-107.0,2024-04-20 12:46:28
89,1001,1,43.127876,-8.48596,-99.0,2024-04-20 12:46:32
90,1001,1,43.127876,-8.48596,-105.0,2024-04-20 12:46:37
91,1001,1,43.127876,-8.48596,-105.0,2024-04-20 12:46:38
92,1001,1,43.127876,-8.48596,-113.0,2024-04-20 12:46:39
93,1001,1,43.127865,-8.485744,-99.0,2024-04-20 12:46:45
94,1001,1,43.127869,-8.48577,-103.0,2024-04-20 12:46:54
95,1001,1,43.127869,-8.48577,-103.0,2024-04-20 12:46:55
96,1001,1,43.127872,-8.485693,-97.0,2024-04-20 12:47:01
97,1001,1,43.127872,-8.485693,-109.0,2024-04-20 12:47:02
98,1001,1,43.127884,-8.485641,-101.0,2024-04-20 12:47:23
99,1001,1,43.127884,-8.485641,-100.0,2024-04-20 12:47:25
100,1001,1,43.127899,-8.48561,-99.0,2024-04-20 12:47:27
101,1001,1,43.127899,-8.48561,-101.0,2024-04-20 12:47:29
102,1001,1,43.127899,-8.485515,-99.0,2024-04-20 12:47:38
103,1001,1,43.127899,-8.485515,-107.0,2024-04-20 12:47:40
104,1001,1,43.127918,-8.485465,-94.0,2024-04-20 12:47:59
105,1001,1,43.127926,-8.485437,-95.0,2024-04-20 12:48:01
106,1001,1,43.127926,-8.485437,-90.0,2024-04-20 12:48:03
107,1001,1,43.127945,-8.485404,-96.0,2024-04-20 12:48:12
108,1001,1,43.127945,-8.485387,-94.0,2024-04-20 12:48:19
109,1001,1,43.127964,-8.485412,-94.0,2024-04-20 12:48:26
110,1001,1,43.127964,-8.485412,-100.0,2024-04-20 12:48:30
111,1001,1,43.127964,-8.485412,-90.0,2024-04-20 12:48:34
112,1001,1,43.128025,-8.485489,-94.0,2024-04-20 12:48:41
113,1001,1,43.128033,-8.485559,-95.0,2024-04-20 12:48:43
114,1001,1,43.128048,-8.485597,-88.0,2024-04-20 12:48:50
115,1001,1,43.128048,-8.485597,-96.0,2024-04-20 12:48:53
116,1001,1,43.128033,-8.48567,-104.0,2024-04-20 12:48:57
117,1001,1,43.128033,-8.48567,-104.0,2024-04-20 12:49:04
118,1001,1,43.128033,-8.48567,-103.0,2024-04-20 12:49:06
119,1001,1,43.128033,-8.48567,-100.0,2024-04-20 12:49:09
120,1001,1,43.128006,-8.485796,-116.0,2024-04-20 12:49:15
121,1001,1,43.127956,-8.485774,-108.0,2024-04-20 12:49:24
122,1001,1,43.127949,-8.485782,-109.0,2024-04-20 12:49:32
123,1001,1,43.127876,-8.485843,-108.0,2024-04-20 12:49:44
124,1001,1,43.127838,-8.485823,-110.0,2024-04-20 12:49:54
125,1001,1,43.127838,-8.485823,-103.0,2024-04-20 12:49:56
126,1001,1,43.127838,-8.485823,-107.0,2024-04-20 12:49:57
127,1001,1,43.127697,-8.485769,-96.0,2024-04-20 12:50:06
